"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"302685428908187648","302648156200517632","197846862","","","2013-02-16 07:46:44 +0000","web","@car_read ???????????????????????????????"
"302685129699127296","302593689186869250","118043424","","","2013-02-16 07:45:33 +0000","web","@jackbilldarren ?????????????URL?"
"302593568424464384","302587651628863488","118043424","","","2013-02-16 01:41:43 +0000","web","@jackbilldarren ????????????????????????????????????????????"
"302100823654137856","","","302095750622502913","37372548","2013-02-14 17:03:43 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @shuosan: #shuo3  ??????Twitter??? http://t.co/TSi8XaYn","http://shuo3.com/139"
"302100382509834240","301919876266737664","18402829","","","2013-02-14 17:01:58 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@kevintalk ???????????????????????"
"300222744031809536","","","299906433212891139","10024052","2013-02-09 12:40:54 +0000","web","RT @Beichen: @xiasinet ????????????????????????????????18?????VPN?????? @foxaecom ???? @songma ??????????"
"300222638066900992","","","300099281501687809","51772613","2013-02-09 12:40:29 +0000","web","RT @songma: @kevintalk @xiasinet @Beichen @foxaecom ???????18?????????80%?????????WIFI???????????????APN???2.5G????????18??????????????? ..."
"300222456419995648","","","","","2013-02-09 12:39:46 +0000","web","?????????????????????????????????????????????????????????????????? ;)"
"300222143499735040","300202221482688512","12937532","","","2013-02-09 12:38:31 +0000","web","@xpol ????????????????????????????"
"299744664179847168","","","299743110395731968","51772613","2013-02-08 05:01:11 +0000","web","RT @songma: ??????????????RT @mranti: RT @horse: ?????? @shehome ??????????????????? ??????????"
"299741771611664384","299739449263263744","18402829","","","2013-02-08 04:49:41 +0000","web","@kevintalk ????????????????????????????"
"299737706131517440","299737354376183809","635939686","","","2013-02-08 04:33:32 +0000","web","@_iMaxwell ?????????"
"299737039874711552","299714548531867649","635939686","","","2013-02-08 04:30:53 +0000","web","@_iMaxwell ?iOS???3G?????????????????????WiFi??????????"
"299736725582929922","299732623213879296","18402829","","","2013-02-08 04:29:38 +0000","web","@kevintalk ?3G????FQ?????????IP????????????"
